,Name,Genre,Release date,Play Time,Poster URL,View grade
0,CHIẾN BINH BÁO ĐEN 2: WAKANDA BẤT DIỆT (2D),Action/Adventure/SF,2022-11-09,162 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10945_103_100002.jpg,13
1,[3D]CHIẾN BINH BÁO ĐEN 2: WAKANDA BẤT DIỆT ,Action/Adventure/SF,2022-11-09,162 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202211/10997_103_100001.png,13
2,BLACK ADAM,Action/Adventure/SF,2022-10-20,125 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202209/10764_103_100003.jpg,13
3,ĐẶC VỤ XUYÊN QUỐC GIA,Action/Adventure/SF,2022-10-27,129 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10983_103_100002.jpg,16
4,NGHI THỨC CẤM,Thriller/Criminal/Horror,2022-10-26,104 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10988_103_100002.jpg,18
5,CÔ GÁI TỪ QUÁ KHỨ,Drama,2022-10-13,105 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202209/10911_103_100003.jpg,18
6,LYLE CHÚ CÁ SẤU BIẾT HÁT,RomanticComedy,2022-11-04,107 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202211/10984_103_100003.jpg,0
7,LỜI NGUYỀN TẦM DA,Thriller/Criminal/Horror,2022-11-02,95 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202211/10986_103_100002.jpg,18
8,VIRUS CUỒNG LOẠN,Thriller/Criminal/Horror,2022-11-04,73 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10987_103_100002.jpg,18
9,BỖNG DƯNG TRÚNG SỐ,Comedy,2022-09-22,113 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202209/10959_103_100004.png,13
10,GUILLIVER DU KÝ,Animation,2022-10-28,92 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202207/10931_103_100001.png,0
11,MỒI QUỶ DỮ,Thriller/Criminal/Horror,2022-10-28,93 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10922_103_100002.jpg,16
12,TELUH LỜI NGUYỀN HÌNH NHÂN,Thriller/Criminal/Horror,2022-11-04,101 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202211/10996_103_100001.png,18
13,YÊU QUÁI TOÀN  THƯ,Action/Adventure/SF,2022-11-04,113 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10995_103_100001.jpg,0
14,BÀ HOÀNG LƯƠN LẸO,RomanticComedy,2022-11-04,104 phút,https://media.lottecinemavn.com/Media/MovieFile/MovieImg/202210/10990_103_100001.jpg,16
15,CHIẾN BINH BÁO ĐEN 2: WAKANDA BẤT DIỆT," Hành Động, Phiêu Lưu, Tâm Lý",2022-11-10, 161 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/b/p/bp2_official_poster_1_.jpg,0
16,HARRY POTTER VÀ CHIẾC CỐC LỬA," Phiêu Lưu, Thần thoại",2022-11-04, 150 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/h/p/hp4_bnr_v_dd_ka_tt_2000x3000_300dpi_en_1_.jpg,0
17,TELUH - LỜI NGUYỀN HÌNH NHÂN, Kinh Dị,2022-11-04, 102 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/t/e/teluh__l_i_nguy_n_h_nh_nh_n_-_payoff_poster_-_dkkc_04.11.2022.jpg,0
18,YÊU QUÁI TOÀN THƯ," Hoạt Hình, Phiêu Lưu",2022-11-04, 113 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/y/_/y_u_qu_i_to_n_th_-_payoff_poster_-_kt_facebook_-_kc_04112022_1_.jpg,0
19,GULLIVER DU KÝ, Hoạt Hình,2022-10-28, 92 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/g/u/gulliver_du_k_-_poster_k_ch_th_c_facebook_-_kctr_28.10.2022.jpg,0
20,TẤM VÉ ĐẾN THIÊN ĐƯỜNG," Hài, Tình cảm",2022-10-14, 104 phút,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/t/t/ttp_700x1000_kc_14.10.2022_1_.jpg,0
21,CƯỜI, Kinh Dị,2022-10-07, 115 phút 39 giây,https://www.cgv.vn/media/catalog/product/cache/1/thumbnail/190x260/2e2b8cd282892c71872b9e67d2cb5039/s/m/smile_700x1000_kc_07.10.2022_.jpg,0
